"Modular Addition", "mont-arith", "model"
1, 1, 2
2, 2, 2
3, 2, 2
4, 2, 2
5, 2, 2
6, 2, 2
7, 2, 2
8, 2, 2
9, 2, 3
10, 2, 3
11, 2, 3
12, 2, 3
13, 3, 3
14, 3, 3
15, 3, 3
16, 3, 3
17, 3, 4
18, 3, 4
19, 3, 4
20, 3, 4
21, 3, 4
22, 3, 4
23, 3, 4
24, 4, 4
25, 4, 5
26, 4, 5
27, 4, 5
28, 4, 5
29, 4, 5
30, 4, 5
31, 4, 5
32, 5, 5
33, 5, 6
34, 4, 6
35, 4, 6
36, 5, 6
37, 5, 6
38, 5, 6
39, 5, 6
40, 5, 6
41, 5, 7
42, 5, 7
43, 5, 7
44, 5, 7
45, 5, 7
46, 5, 7
47, 6, 7
48, 6, 7
49, 6, 8
50, 6, 8
51, 6, 8
52, 6, 8
53, 6, 8
54, 6, 8
55, 6, 8
56, 6, 8
57, 6, 9
58, 6, 9
59, 6, 9
60, 6, 9
61, 7, 9
62, 7, 9
63, 7, 9
64, 7, 9
65, 7, 10
66, 7, 10
67, 7, 10
68, 7, 10
69, 8, 10
70, 9, 10
71, 9, 10
72, 11, 10
73, 8, 11
74, 8, 11
75, 8, 11
76, 8, 11
77, 8, 11
78, 8, 11
79, 8, 11
80, 8, 11
81, 8, 12
82, 8, 12
83, 8, 12
84, 9, 12
85, 9, 12
86, 9, 12
87, 9, 12
88, 9, 12
89, 9, 13
90, 9, 13
91, 9, 13
92, 9, 13
93, 9, 13
94, 9, 13
95, 9, 13
96, 9, 13
97, 10, 14
98, 10, 14
99, 10, 14
100, 10, 14
101, 11, 14
102, 10, 14
103, 11, 14
104, 11, 14
105, 10, 15
106, 11, 15
107, 11, 15
108, 11, 15
109, 11, 15
110, 11, 15
111, 11, 15
112, 11, 15
113, 11, 16
114, 11, 16
115, 11, 16
116, 11, 16
117, 12, 16
118, 12, 16
119, 12, 16
120, 12, 16
121, 12, 17
122, 12, 17
123, 12, 17
124, 12, 17
125, 12, 17
126, 12, 17
127, 12, 17
