"Montgomery Modular Multiplication", "mont-arith", "model"
1, 1, 2
2, 2, 2
3, 2, 3
4, 3, 4
5, 4, 5
6, 6, 6
7, 8, 8
8, 10, 10
9, 12, 12
10, 15, 14
11, 133, 17
12, 132, 20
13, 151, 23
14, 156, 26
15, 170, 30
16, 166, 34
17, 176, 38
18, 181, 42
19, 188, 47
20, 194, 52
21, 213, 57
22, 214, 62
23, 206, 68
24, 200, 74
25, 211, 80
26, 212, 86
27, 220, 93
28, 229, 100
29, 231, 107
30, 236, 114
31, 241, 122
32, 244, 130
33, 253, 138
34, 258, 146
35, 260, 155
36, 261, 164
37, 273, 173
38, 271, 182
39, 302, 192
40, 344, 202
41, 340, 212
42, 332, 222
43, 354, 233
44, 381, 244
45, 369, 255
46, 349, 266
47, 363, 278
48, 359, 290
49, 372, 302
50, 386, 314
51, 400, 327
52, 377, 340
53, 394, 353
54, 403, 366
55, 420, 380
56, 412, 394
57, 410, 408
58, 409, 422
59, 420, 437
60, 427, 452
61, 441, 467
62, 439, 482
63, 441, 498
64, 438, 514
65, 466, 530
66, 468, 546
67, 473, 563
68, 460, 580
69, 491, 597
70, 486, 614
71, 481, 632
72, 504, 650
73, 511, 668
74, 532, 686
75, 557, 705
76, 547, 724
77, 548, 743
78, 552, 762
79, 546, 782
80, 602, 802
81, 635, 822
82, 630, 842
83, 631, 863
84, 636, 884
85, 660, 905
86, 661, 926
87, 662, 948
88, 638, 970
89, 676, 992
90, 649, 1014
91, 654, 1037
92, 692, 1060
93, 690, 1083
94, 679, 1106
95, 688, 1130
96, 702, 1154
97, 705, 1178
98, 715, 1202
99, 711, 1227
100, 720, 1252
101, 741, 1277
102, 741, 1302
103, 752, 1328
104, 730, 1354
105, 756, 1380
106, 761, 1406
107, 766, 1433
108, 752, 1460
109, 766, 1487
110, 773, 1514
111, 786, 1542
112, 782, 1570
113, 828, 1598
114, 824, 1626
115, 833, 1655
116, 813, 1684
117, 824, 1713
118, 848, 1742
119, 830, 1772
120, 845, 1802
121, 877, 1832
122, 867, 1862
123, 842, 1893
124, 844, 1924
125, 876, 1955
126, 865, 1986
127, 866, 2018
