"addmont", "addmont-go"
1.0, 3.087
2.0, 3.249
3.0, 3.467
4.0, 3.626
5.0, 4.184
6.0, 3.9530000000000003
7.0, 4.154
8.0, 3.9189999999999996
9.0, 4.096
10.0, 5.174
11.0, 5.581
12.0, 5.349
13.0, 5.923
14.0, 5.92
15.0, 6.037
16.0, 6.419
17.0, 6.4719999999999995
18.0, 6.516
19.0, 6.433
20.0, 6.984999999999999
21.0, 7.481999999999999
22.0, 7.737
23.0, 7.627
24.0, 7.839
25.0, 7.773000000000001
26.0, 7.731
27.0, 8.241
28.0, 8.608
29.0, 8.887
30.0, 9.208
31.0, 9.434000000000001
32.0, 9.357
33.0, 9.17
34.0, 9.803
35.0, 10.690000000000001
36.0, 10.84
37.0, 10.74
38.0, 11.17
39.0, 11.84
40.0, 11.620000000000001
41.0, 12.2
42.0, 12.3
43.0, 11.82
44.0, 12.09
45.0, 12.28
46.0, 12.88
47.0, 12.87
48.0, 13.48
49.0, 14.040000000000001
50.0, 14.34
51.0, 14.2
52.0, 15.02
53.0, 14.9
54.0, 14.65
55.0, 16.21
56.0, 15.440000000000001
57.0, 16.44
58.0, 15.919999999999998
59.0, 16.86
60.0, 17.05
61.0, 17.44
62.0, 18.75
63.0, 18.45
64.0, 17.09
65.0, 17.06
66.0, 17.59
67.0, 17.7
68.0, 18.119999999999997
69.0, 19.130000000000003
70.0, 18.3
71.0, 18.16
72.0, 18.31
73.0, 18.59
74.0, 18.84
75.0, 18.72
76.0, 19.580000000000002
77.0, 19.56
78.0, 19.830000000000002
79.0, 19.759999999999998
80.0, 20.29
81.0, 20.130000000000003
82.0, 20.31
83.0, 20.72
84.0, 21.259999999999998
85.0, 21.31
86.0, 21.75
87.0, 21.669999999999998
88.0, 22.2
89.0, 22.14
90.0, 22.25
91.0, 22.55
92.0, 22.7
93.0, 23.1
94.0, 23.77
95.0, 24.080000000000002
96.0, 24.15
97.0, 24.5
98.0, 24.78
99.0, 26.589999999999996
100.0, 30.119999999999997
101.0, 26.360000000000003
102.0, 26.7
103.0, 26.8
104.0, 27.119999999999997
105.0, 26.95
106.0, 27.160000000000004
107.0, 26.96
108.0, 27.07
109.0, 27.25
110.0, 27.6
111.0, 27.93
112.0, 28.060000000000002
113.0, 28.54
114.0, 29.97
115.0, 28.77
116.0, 28.98
117.0, 29.95
118.0, 29.35
119.0, 29.630000000000003
120.0, 29.9
121.0, 30.05
122.0, 30.32
123.0, 30.630000000000003
124.0, 30.77
125.0, 30.95
126.0, 31.18
127.0, 31.51
128.0, 31.419999999999998
