"mulmont", "mulmont-go"
1.0, 3.132
2.0, 3.899
3.0, 4.335
4.0, 5.171
5.0, 6.8260000000000005
6.0, 7.733
7.0, 9.311
8.0, 11.1
9.0, 14.75
10.0, 16.94
11.0, 128.8
12.0, 132.0
13.0, 139.6
14.0, 142.8
15.0, 151.4
16.0, 159.1
17.0, 176.4
18.0, 179.7
19.0, 171.9
20.0, 170.2
21.0, 171.3
22.0, 197.4
23.0, 223.7
24.0, 182.6
25.0, 182.4
26.0, 186.9
27.0, 206.2
28.0, 212.0
29.0, 208.3
30.0, 220.1
31.0, 272.2
32.0, 268.2
33.0, 255.2
34.0, 242.7
35.0, 240.6
36.0, 236.0
37.0, 252.8
38.0, 267.3
39.0, 267.0
40.0, 262.5
41.0, 267.0
42.0, 265.9
43.0, 267.0
44.0, 287.2
45.0, 292.2
46.0, 300.4
47.0, 322.1
48.0, 422.5
49.0, 336.4
50.0, 324.7
51.0, 327.6
52.0, 342.7
53.0, 317.5
54.0, 325.6
55.0, 326.5
56.0, 339.0
57.0, 334.1
58.0, 364.9
59.0, 355.3
60.0, 350.4
61.0, 357.8
62.0, 372.7
63.0, 366.7
