"submont", "submont-go"
64, 31.0
128, 32.87
192, 38.02
256, 32.32
320, 36.63
384, 33.57
448, 33.81
512, 34.38
576, 36.5
640, 46.3
704, 48.82
768, 49.08
832, 50.67
896, 52.25
960, 52.66
1024, 53.77
1088, 55.31
1152, 57.0
1216, 58.69
1280, 60.22
1344, 62.04
1408, 63.38
1472, 65.6
1536, 66.48
1600, 68.61
1664, 69.05
1728, 72.45
1792, 72.83
1856, 73.79
1920, 76.03
1984, 77.15
2048, 78.65
2112, 80.29
2176, 82.16
2240, 83.08
2304, 84.86
2368, 85.68
2432, 87.99
2496, 89.54
2560, 90.81
2624, 93.09
2688, 94.33
2752, 95.27
2816, 96.86
2880, 99.33
2944, 99.65
3008, 102.3
3072, 104.6
3136, 108.3
3200, 107.6
3264, 109.9
3328, 109.5
3392, 111.4
3456, 112.4
3520, 114.4
3584, 118.2
3648, 119.8
3712, 118.0
3776, 121.5
3840, 121.5
3904, 124.9
3968, 126.6
4032, 127.3
